Day,Market Participant,Equity Option Contracts,Equity Option Trade Count,Equity Option Notional,Index/Other Option Contracts,Index/Other Option Trade Count,Index/Other Option Notional,Total Option Contracts,Total Trade Count,Total Option Notional
2025-05-15,MIAX Options Exchange (M),4319685,697653,1421809106.000000,0,0,0.000000,4319685,697653,1421809106.000000
2025-05-15,NYSE Arca Options (N),6245807,838068,2751856218.000000,0,0,0.000000,6245807,838068,2751856218.000000
2025-05-15,MIAX Pearl (P),830749,105278,178676698.000000,0,0,0.000000,830749,105278,178676698.000000
2025-05-15,NASDAQ Options Market (Q),2481133,356155,840542488.000000,0,0,0.000000,2481133,356155,840542488.000000
2025-05-15,MIAX Sapphire (S),1796075,238604,512678623.000000,0,0,0.000000,1796075,238604,512678623.000000
2025-05-15,Nasdaq BX Options (T),886143,101776,174229713.000000,0,0,0.000000,886143,101776,174229713.000000
2025-05-15,Members Exchange (U),1918872,266913,502028124.000000,0,0,0.000000,1918872,266913,502028124.000000
2025-05-15,Cboe C2 Options Exchange (W),1724262,205153,427767850.000000,8880,2369,27224513.000000,1733142,207522,454992363.000000
2025-05-15,Nasdaq PHLX (X),5967310,460841,5064315302.000000,79784,17044,807969138.000000,6047094,477885,5872284440.000000
2025-05-15,Cboe BZX Options Exchange (Z),2093530,292117,755699808.000000,2184,461,15929942.000000,2095714,292578,771629750.000000
2025-05-14,NYSE American Options (A),2878046,287429,902806498.000000,0,0,0.000000,2878046,287429,902806498.000000
2025-05-14,BOX Options (B),4356581,366481,4195818971.000000,0,0,0.000000,4356581,366481,4195818971.000000
2025-05-14,Cboe Options Exchange (C),4978322,818020,2280464406.000000,4357547,926524,12002401736.000000,9335869,1744544,14282866142.000000
2025-05-14,MIAX Emerald (D),2464921,424583,821733640.000000,0,0,0.000000,2464921,424583,821733640.000000
2025-05-14,Cboe EDGX Options Exchange (E),3940930,582834,1125561199.000000,0,0,0.000000,3940930,582834,1125561199.000000
2025-05-14,Nasdaq GEMX (H),2124227,254646,527761738.000000,1092,648,36586955.000000,2125319,255294,564348693.000000
2025-05-14,Nasdaq ISE (I),3489510,529539,1789920872.000000,24660,10676,381737341.000000,3514170,540215,2171658213.000000
2025-05-14,Nasdaq MRX (J),1618637,232253,512259294.000000,0,0,0.000000,1618637,232253,512259294.000000
2025-05-14,MIAX Options Exchange (M),4267981,723697,1450919372.000000,0,0,0.000000,4267981,723697,1450919372.000000
2025-05-14,NYSE Arca Options (N),6789810,913118,2983205941.000000,0,0,0.000000,6789810,913118,2983205941.000000
2025-05-14,MIAX Pearl (P),856835,112042,196992014.000000,0,0,0.000000,856835,112042,196992014.000000
2025-05-14,NASDAQ Options Market (Q),2719267,381778,977552257.000000,0,0,0.000000,2719267,381778,977552257.000000
2025-05-14,MIAX Sapphire (S),1808245,252098,626174531.000000,0,0,0.000000,1808245,252098,626174531.000000
2025-05-14,Nasdaq BX Options (T),887767,105380,220085924.000000,0,0,0.000000,887767,105380,220085924.000000
2025-05-14,Members Exchange (U),1996038,273010,551027442.000000,0,0,0.000000,1996038,273010,551027442.000000
2025-05-14,Cboe C2 Options Exchange (W),1640573,211123,504628855.000000,7781,2350,16618072.000000,1648354,213473,521246927.000000
2025-05-14,Nasdaq PHLX (X),5908522,478981,4933691272.000000,38002,14448,412167303.000000,5946524,493429,5345858575.000000
2025-05-14,Cboe BZX Options Exchange (Z),2311521,319400,860621824.500000,1917,654,6018321.000000,2313438,320054,866640145.500000
2025-05-13,NYSE American Options (A),3792830,314807,1564372047.000000,0,0,0.000000,3792830,314807,1564372047.000000
2025-05-13,BOX Options (B),4124934,401777,2089630092.000000,0,0,0.000000,4124934,401777,2089630092.000000
2025-05-13,Cboe Options Exchange (C),6157958,919318,3330859464.000000,5334498,982314,13067747268.000000,11492456,1901632,16398606732.000000
2025-05-13,MIAX Emerald (D),2428234,418905,874103899.000000,0,0,0.000000,2428234,418905,874103899.000000
2025-05-13,Cboe EDGX Options Exchange (E),4756474,651303,1595839264.000000,0,0,0.000000,4756474,651303,1595839264.000000
2025-05-13,Nasdaq GEMX (H),2378286,276158,649712361.000000,689,228,8540446.000000,2378975,276386,658252807.000000
2025-05-13,Nasdaq ISE (I),4206205,604238,2029190552.500000,37995,13611,389426395.000000,4244200,617849,2418616947.500000
2025-05-13,Nasdaq MRX (J),1945553,262169,658372050.000000,0,0,0.000000,1945553,262169,658372050.000000
2025-05-13,MIAX Options Exchange (M),5057889,806344,1875099033.000000,0,0,0.000000,5057889,806344,1875099033.000000
2025-05-13,NYSE Arca Options (N),7668517,970568,3601912357.000000,0,0,0.000000,7668517,970568,3601912357.000000
2025-05-13,MIAX Pearl (P),1343473,190135,356579899.000000,0,0,0.000000,1343473,190135,356579899.000000
2025-05-13,NASDAQ Options Market (Q),2932482,410893,1082488150.000000,0,0,0.000000,2932482,410893,1082488150.000000
2025-05-13,MIAX Sapphire (S),2070104,281850,686237195.000000,0,0,0.000000,2070104,281850,686237195.000000
2025-05-13,Nasdaq BX Options (T),1006763,117063,258153812.000000,0,0,0.000000,1006763,117063,258153812.000000
2025-05-13,Members Exchange (U),2179791,295890,638845919.000000,0,0,0.000000,2179791,295890,638845919.000000
2025-05-13,Cboe C2 Options Exchange (W),1866017,243152,625591290.000000,14987,2540,25429983.000000,1881004,245692,651021273.000000
2025-05-13,Nasdaq PHLX (X),5457513,505019,2157253336.000000,48096,16515,402025027.000000,5505609,521534,2559278363.000000
2025-05-13,Cboe BZX Options Exchange (Z),2503748,348539,963216273.000000,1484,566,5578242.000000,2505232,349105,968794515.000000
2025-05-12,NYSE American Options (A),2790271,308442,934835032.000000,0,0,0.000000,2790271,308442,934835032.000000
2025-05-12,BOX Options (B),4198077,483003,1810699844.000000,0,0,0.000000,4198077,483003,1810699844.000000
2025-05-12,Cboe Options Exchange (C),5711538,896492,2345795661.000000,5868734,979515,14040007503.000000,11580272,1876007,16385803164.000000
2025-05-12,MIAX Emerald (D),2319799,397892,797984783.000000,0,0,0.000000,2319799,397892,797984783.000000
2025-05-12,Cboe EDGX Options Exchange (E),3992437,633852,1170380301.000000,0,0,0.000000,3992437,633852,1170380301.000000
2025-05-12,Nasdaq GEMX (H),2413552,269189,620459309.000000,481,269,13464385.000000,2414033,269458,633923694.000000
2025-05-12,Nasdaq ISE (I),4266337,619648,1923099224.000000,26985,11480,265197981.000000,4293322,631128,2188297205.000000
2025-05-12,Nasdaq MRX (J),1793971,237827,546397858.000000,0,0,0.000000,1793971,237827,546397858.000000
2025-05-12,MIAX Options Exchange (M),4855017,754575,1634606877.000000,0,0,0.000000,4855017,754575,1634606877.000000
2025-05-12,NYSE Arca Options (N),7497633,925031,3015136015.000000,0,0,0.000000,7497633,925031,3015136015.000000
2025-05-12,MIAX Pearl (P),1213047,164007,321403544.000000,0,0,0.000000,1213047,164007,321403544.000000
2025-05-12,NASDAQ Options Market (Q),2834230,394096,997398641.000000,0,0,0.000000,2834230,394096,997398641.000000
2025-05-12,MIAX Sapphire (S),2018111,281632,644132257.000000,0,0,0.000000,2018111,281632,644132257.000000
2025-05-12,Nasdaq BX Options (T),950407,107321,244370310.000000,0,0,0.000000,950407,107321,244370310.000000
2025-05-12,Members Exchange (U),2054571,283752,569803225.000000,0,0,0.000000,2054571,283752,569803225.000000
2025-05-12,Cboe C2 Options Exchange (W),1900221,237474,540883969.000000,12390,3612,24062063.000000,1912611,241086,564946032.000000
2025-05-12,Nasdaq PHLX (X),5508466,495435,2182227992.000000,37353,14069,379913819.000000,5545819,509504,2562141811.000000
2025-05-12,Cboe BZX Options Exchange (Z),2391313,321804,857086081.100000,2356,732,6522588.000000,2393669,322536,863608669.100000
2025-05-09,NYSE American Options (A),2609484,254920,727661791.000000,0,0,0.000000,2609484,254920,727661791.000000
2025-05-09,BOX Options (B),3769119,423426,1275028120.000000,0,0,0.000000,3769119,423426,1275028120.000000
2025-05-09,Cboe Options Exchange (C),5037527,731154,1702859274.000000,3899206,935420,6992159360.000000,8936733,1666574,8695018634.000000
2025-05-09,MIAX Emerald (D),1782472,306464,461213587.000000,0,0,0.000000,1782472,306464,461213587.000000
2025-05-09,Cboe EDGX Options Exchange (E),4195860,593766,787956966.000000,0,0,0.000000,4195860,593766,787956966.000000
2025-05-09,Nasdaq GEMX (H),2132222,265500,426555379.500000,485,330,5910205.000000,2132707,265830,432465584.500000
2025-05-09,Nasdaq ISE (I),3731177,544867,1298213930.500000,25692,10383,112198923.000000,3756869,555250,1410412853.500000
2025-05-09,Nasdaq MRX (J),1639817,219272,365577821.000000,0,0,0.000000,1639817,219272,365577821.000000
2025-05-09,MIAX Options Exchange (M),4064526,651155,1017003268.000000,0,0,0.000000,4064526,651155,1017003268.000000
2025-05-09,NYSE Arca Options (N),6400733,875071,2066234124.000000,0,0,0.000000,6400733,875071,2066234124.000000
2025-05-09,MIAX Pearl (P),1404451,203457,287671633.000000,0,0,0.000000,1404451,203457,287671633.000000
2025-05-09,NASDAQ Options Market (Q),2436779,351836,656718640.000000,0,0,0.000000,2436779,351836,656718640.000000
2025-05-09,MIAX Sapphire (S),1802703,249867,419132680.000000,0,0,0.000000,1802703,249867,419132680.000000
2025-05-09,Nasdaq BX Options (T),914169,102658,183452708.000000,0,0,0.000000,914169,102658,183452708.000000
2025-05-09,Members Exchange (U),1966618,265518,423261509.000000,0,0,0.000000,1966618,265518,423261509.000000
2025-05-09,Cboe C2 Options Exchange (W),1801714,219698,349292917.000000,15316,2952,19624990.000000,1817030,222650,368917907.000000
2025-05-09,Nasdaq PHLX (X),5114183,436703,1590552480.000000,32889,12388,175789631.000000,5147072,449091,1766342111.000000
2025-05-09,Cboe BZX Options Exchange (Z),2129952,286882,584942568.000000,1888,613,4462824.000000,2131840,287495,589405392.000000
2025-05-08,NYSE American Options (A),2604389,247886,932904949.000000,0,0,0.000000,2604389,247886,932904949.000000
2025-05-08,BOX Options (B),4169179,423426,1845673175.500000,0,0,0.000000,4169179,423426,1845673175.500000
2025-05-08,Cboe Options Exchange (C),6616443,859702,2872756072.000000,4722366,991435,10148906551.000000,11338809,1851137,13021662623.000000
2025-05-08,MIAX Emerald (D),2292987,401474,700746949.000000,0,0,0.000000,2292987,401474,700746949.000000
2025-05-08,Cboe EDGX Options Exchange (E),3924425,606944,842794698.500000,0,0,0.000000,3924425,606944,842794698.500000
2025-05-08,Nasdaq GEMX (H),2394242,294675,534997518.000000,322,145,7400262.000000,2394564,294820,542397780.000000
2025-05-08,Nasdaq ISE (I),3946839,574984,1484636789.000000,26823,11311,178418539.000000,3973662,586295,1663055328.000000
2025-05-08,Nasdaq MRX (J),1743834,233208,407196505.000000,0,0,0.000000,1743834,233208,407196505.000000
2025-05-08,MIAX Options Exchange (M),4329852,716590,1249931237.000000,0,0,0.000000,4329852,716590,1249931237.000000
2025-05-08,NYSE Arca Options (N),7048059,917499,2293676844.000000,0,0,0.000000,7048059,917499,2293676844.000000
2025-05-08,MIAX Pearl (P),1225122,172751,270969211.000000,0,0,0.000000,1225122,172751,270969211.000000
2025-05-08,NASDAQ Options Market (Q),2529013,363859,714142049.000000,0,0,0.000000,2529013,363859,714142049.000000
2025-05-08,MIAX Sapphire (S),1872010,258345,523781398.000000,0,0,0.000000,1872010,258345,523781398.000000
2025-05-08,Nasdaq BX Options (T),914512,103487,179830711.000000,0,0,0.000000,914512,103487,179830711.000000
2025-05-08,Members Exchange (U),2084339,277177,479893716.000000,0,0,0.000000,2084339,277177,479893716.000000
2025-05-08,Cboe C2 Options Exchange (W),1690044,219562,421169019.000000,11460,3069,19417388.000000,1701504,222631,440586407.000000
2025-05-08,Nasdaq PHLX (X),5551899,484323,2532039343.000000,33888,14124,243060226.000000,5585787,498447,2775099569.000000
2025-05-08,Cboe BZX Options Exchange (Z),2247216,309220,687468021.000000,2321,748,7848695.000000,2249537,309968,695316716.000000
2025-05-07,NYSE American Options (A),2353332,219807,976576267.000000,0,0,0.000000,2353332,219807,976576267.000000
2025-05-07,BOX Options (B),2907837,336705,1195326008.000000,0,0,0.000000,2907837,336705,1195326008.000000
2025-05-07,Cboe Options Exchange (C),4113595,657437,1284289821.000000,3417498,804335,8672122962.000000,7531093,1461772,9956412783.000000
2025-05-07,MIAX Emerald (D),1646965,291299,472953667.000000,0,0,0.000000,1646965,291299,472953667.000000
2025-05-07,Cboe EDGX Options Exchange (E),2795254,503333,590641332.000000,0,0,0.000000,2795254,503333,590641332.000000
2025-05-07,Nasdaq GEMX (H),1935293,257816,452115647.000000,326,268,12037150.000000,1935619,258084,464152797.000000
2025-05-07,Nasdaq ISE (I),2884286,445843,876027553.000000,26269,10213,117920183.000000,2910555,456056,993947736.000000
2025-05-07,Nasdaq MRX (J),1287221,183466,306963623.000000,0,0,0.000000,1287221,183466,306963623.000000
2025-05-07,MIAX Options Exchange (M),3232105,563730,863229753.000000,0,0,0.000000,3232105,563730,863229753.000000
2025-05-07,NYSE Arca Options (N),5569220,789619,1824686031.000000,0,0,0.000000,5569220,789619,1824686031.000000
2025-05-07,MIAX Pearl (P),1192768,179251,273191249.000000,0,0,0.000000,1192768,179251,273191249.000000
2025-05-07,NASDAQ Options Market (Q),2049747,298480,599278208.000000,0,0,0.000000,2049747,298480,599278208.000000
2025-05-07,MIAX Sapphire (S),1389464,203675,332977392.000000,0,0,0.000000,1389464,203675,332977392.000000
2025-05-07,Nasdaq BX Options (T),714316,89219,121810875.000000,0,0,0.000000,714316,89219,121810875.000000
2025-05-07,Members Exchange (U),1660398,225788,389451027.000000,0,0,0.000000,1660398,225788,389451027.000000
2025-05-07,Cboe C2 Options Exchange (W),1255041,170949,314122604.000000,7916,2451,14966421.000000,1262957,173400,329089025.000000
2025-05-07,Nasdaq PHLX (X),3977659,380608,1157439412.700000,27467,11649,156318711.000000,4005126,392257,1313758123.700000
2025-05-07,Cboe BZX Options Exchange (Z),1791209,254029,508912738.000000,1581,613,3377045.000000,1792790,254642,512289783.000000
2025-05-06,NYSE American Options (A),2229223,214957,878499222.000000,0,0,0.000000,2229223,214957,878499222.000000
2025-05-06,BOX Options (B),2852877,317722,814996068.000000,0,0,0.000000,2852877,317722,814996068.000000
2025-05-06,Cboe Options Exchange (C),3930188,599446,1411856469.000000,3730686,972922,10022616821.000000,7660874,1572368,11434473290.000000
2025-05-06,MIAX Emerald (D),1490473,270638,454756519.000000,0,0,0.000000,1490473,270638,454756519.000000
2025-05-06,Cboe EDGX Options Exchange (E),2973956,493769,684457200.000000,0,0,0.000000,2973956,493769,684457200.000000
2025-05-06,Nasdaq GEMX (H),1990306,230324,410951329.000000,312,201,13600920.000000,1990618,230525,424552249.000000
2025-05-06,Nasdaq ISE (I),2619369,414578,858514757.000000,26270,11394,149997611.000000,2645639,425972,1008512368.000000
2025-05-06,Nasdaq MRX (J),1274739,189209,310405829.000000,0,0,0.000000,1274739,189209,310405829.000000
2025-05-06,MIAX Options Exchange (M),3348564,524559,884592345.000000,0,0,0.000000,3348564,524559,884592345.000000
2025-05-06,NYSE Arca Options (N),5037231,717652,1851985989.000000,0,0,0.000000,5037231,717652,1851985989.000000
2025-05-06,MIAX Pearl (P),1049709,158869,248376959.000000,0,0,0.000000,1049709,158869,248376959.000000
2025-05-06,NASDAQ Options Market (Q),1923082,284504,556522170.000000,0,0,0.000000,1923082,284504,556522170.000000
2025-05-06,MIAX Sapphire (S),1325751,202263,308360722.000000,0,0,0.000000,1325751,202263,308360722.000000
2025-05-06,Nasdaq BX Options (T),679443,83227,124451216.000000,0,0,0.000000,679443,83227,124451216.000000
2025-05-06,Members Exchange (U),1502146,204803,346976549.000000,0,0,0.000000,1502146,204803,346976549.000000
2025-05-06,Cboe C2 Options Exchange (W),1242186,160219,319633477.000000,8705,2745,22119229.000000,1250891,162964,341752706.000000
2025-05-06,Nasdaq PHLX (X),3841608,351891,1101874998.000000,31625,12798,219879229.000000,3873233,364689,1321754227.000000
2025-05-06,Cboe BZX Options Exchange (Z),1590663,227146,475908365.500000,2318,696,8579855.000000,1592981,227842,484488220.500000
2025-05-05,NYSE American Options (A),2188513,205516,1231400435.000000,0,0,0.000000,2188513,205516,1231400435.000000
2025-05-05,BOX Options (B),2487653,318882,823553410.000000,0,0,0.000000,2487653,318882,823553410.000000
2025-05-05,Cboe Options Exchange (C),3846230,602850,1436461114.000000,3486316,824092,9294096226.000000,7332546,1426942,10730557340.000000
2025-05-05,MIAX Emerald (D),1368175,254397,456111971.000000,0,0,0.000000,1368175,254397,456111971.000000
2025-05-05,Cboe EDGX Options Exchange (E),2776168,506294,695617923.000000,0,0,0.000000,2776168,506294,695617923.000000
2025-05-05,Nasdaq GEMX (H),1719881,222042,377510539.000000,226,131,8604340.000000,1720107,222173,386114879.000000
2025-05-05,Nasdaq ISE (I),2550027,411403,940948192.000000,22028,11017,161731390.000000,2572055,422420,1102679582.000000
2025-05-05,Nasdaq MRX (J),1187565,185955,303568709.000000,0,0,0.000000,1187565,185955,303568709.000000
2025-05-05,MIAX Options Exchange (M),3324115,515017,914805374.000000,0,0,0.000000,3324115,515017,914805374.000000
2025-05-05,NYSE Arca Options (N),4778486,715437,1984733584.000000,0,0,0.000000,4778486,715437,1984733584.000000
2025-05-05,MIAX Pearl (P),948081,150147,239184415.000000,0,0,0.000000,948081,150147,239184415.000000
2025-05-05,NASDAQ Options Market (Q),1736321,267662,530356194.000000,0,0,0.000000,1736321,267662,530356194.000000
2025-05-05,MIAX Sapphire (S),1296960,199548,309794654.000000,0,0,0.000000,1296960,199548,309794654.000000
2025-05-05,Nasdaq BX Options (T),645500,80817,124553470.000000,0,0,0.000000,645500,80817,124553470.000000
2025-05-05,Members Exchange (U),1357808,189124,329777020.000000,0,0,0.000000,1357808,189124,329777020.000000
2025-05-05,Cboe C2 Options Exchange (W),1226410,160057,283475075.000000,9212,2472,17090345.000000,1235622,162529,300565420.000000
2025-05-05,Nasdaq PHLX (X),3365218,353122,1150583388.000000,29806,12261,206320351.000000,3395024,365383,1356903739.000000
2025-05-05,Cboe BZX Options Exchange (Z),1551317,215934,511993992.000000,1528,412,5643249.000000,1552845,216346,517637241.000000
2025-05-02,NYSE American Options (A),2695463,230547,851631966.000000,0,0,0.000000,2695463,230547,851631966.000000
2025-05-02,BOX Options (B),3651563,442759,1184354072.000000,0,0,0.000000,3651563,442759,1184354072.000000
2025-05-02,Cboe Options Exchange (C),5274190,857986,1950678111.000000,4346293,992279,11720790471.000000,9620483,1850265,13671468582.000000
2025-05-02,MIAX Emerald (D),2378483,407809,776968637.000000,0,0,0.000000,2378483,407809,776968637.000000
2025-05-02,Cboe EDGX Options Exchange (E),5546833,761276,1174670905.000000,0,0,0.000000,5546833,761276,1174670905.000000
2025-05-02,Nasdaq GEMX (H),2539672,308903,546771459.000000,495,161,10806915.000000,2540167,309064,557578374.000000
2025-05-02,Nasdaq ISE (I),4123679,630114,1544252032.000000,24115,11349,457278065.000000,4147794,641463,2001530097.000000
2025-05-02,Nasdaq MRX (J),1823683,245623,485476715.000000,0,0,0.000000,1823683,245623,485476715.000000
2025-05-02,MIAX Options Exchange (M),4480218,729059,1287260159.000000,0,0,0.000000,4480218,729059,1287260159.000000
2025-05-02,NYSE Arca Options (N),7487875,1030258,2413216556.000000,0,0,0.000000,7487875,1030258,2413216556.000000
2025-05-02,MIAX Pearl (P),1275087,174894,263950796.000000,0,0,0.000000,1275087,174894,263950796.000000
2025-05-02,NASDAQ Options Market (Q),2695694,393856,762635151.000000,0,0,0.000000,2695694,393856,762635151.000000
2025-05-02,MIAX Sapphire (S),2000032,287115,503688214.000000,0,0,0.000000,2000032,287115,503688214.000000
2025-05-02,Nasdaq BX Options (T),986245,116330,189502979.000000,0,0,0.000000,986245,116330,189502979.000000
2025-05-02,Members Exchange (U),2058008,269101,462522956.000000,0,0,0.000000,2058008,269101,462522956.000000
2025-05-02,Cboe C2 Options Exchange (W),1830025,226888,424851372.000000,14594,3498,39396309.000000,1844619,230386,464247681.000000
2025-05-02,Nasdaq PHLX (X),5451453,485638,1810290233.000000,29716,13451,378560790.000000,5481169,499089,2188851023.000000
2025-05-02,Cboe BZX Options Exchange (Z),2376159,317047,685636848.000000,1637,685,4720141.000000,2377796,317732,690356989.000000
2025-05-01,NYSE American Options (A),3001855,252825,947788480.000000,0,0,0.000000,3001855,252825,947788480.000000
2025-05-01,BOX Options (B),3671063,370904,2760017453.100000,0,0,0.000000,3671063,370904,2760017453.100000
2025-05-01,Cboe Options Exchange (C),4850729,800283,2077832253.000000,4031757,957375,12085518290.000000,8882486,1757658,14163350543.000000
2025-05-01,MIAX Emerald (D),2005388,352911,774737651.000000,0,0,0.000000,2005388,352911,774737651.000000
2025-05-01,Cboe EDGX Options Exchange (E),3507605,620194,1028285932.000000,0,0,0.000000,3507605,620194,1028285932.000000
2025-05-01,Nasdaq GEMX (H),2202381,288033,586802774.000000,457,174,7155670.000000,2202838,288207,593958444.000000
2025-05-01,Nasdaq ISE (I),3381349,530510,1543586951.000000,27670,11899,162069458.000000,3409019,542409,1705656409.000000
2025-05-01,Nasdaq MRX (J),1525076,222861,461745839.000000,0,0,0.000000,1525076,222861,461745839.000000
2025-05-01,MIAX Options Exchange (M),3791310,641001,1329194269.000000,0,0,0.000000,3791310,641001,1329194269.000000
2025-05-01,NYSE Arca Options (N),6374197,937182,2516530556.000000,0,0,0.000000,6374197,937182,2516530556.000000
2025-05-01,MIAX Pearl (P),1142585,162729,306074510.000000,0,0,0.000000,1142585,162729,306074510.000000
2025-05-01,NASDAQ Options Market (Q),2331806,344294,797668835.000000,0,0,0.000000,2331806,344294,797668835.000000
2025-05-01,MIAX Sapphire (S),1618444,242504,504122715.000000,0,0,0.000000,1618444,242504,504122715.000000
2025-05-01,Nasdaq BX Options (T),823519,99003,169456503.000000,0,0,0.000000,823519,99003,169456503.000000
2025-05-01,Members Exchange (U),1764150,237937,481010815.000000,0,0,0.000000,1764150,237937,481010815.000000
2025-05-01,Cboe C2 Options Exchange (W),1569773,200549,431481632.000000,11027,2561,19253948.000000,1580800,203110,450735580.000000
2025-05-01,Nasdaq PHLX (X),4580883,435112,2468262621.700000,32991,13732,257311528.000000,4613874,448844,2725574149.700000
2025-05-01,Cboe BZX Options Exchange (Z),1931242,269987,658393929.000000,1455,572,5113969.000000,1932697,270559,663507898.000000
2025-04-30,NYSE American Options (A),2168615,241159,528780692.000000,0,0,0.000000,2168615,241159,528780692.000000
2025-04-30,BOX Options (B),3375123,384686,963352363.000000,0,0,0.000000,3375123,384686,963352363.000000
2025-04-30,Cboe Options Exchange (C),4188442,692590,1549670803.000000,4338660,1025220,12746728695.000000,8527102,1717810,14296399498.000000
2025-04-30,MIAX Emerald (D),1882465,303146,618362526.000000,0,0,0.000000,1882465,303146,618362526.000000
2025-04-30,Cboe EDGX Options Exchange (E),3037163,529520,718338733.000000,0,0,0.000000,3037163,529520,718338733.000000
2025-04-30,Nasdaq GEMX (H),2581188,367769,663694805.000000,281,177,8435483.000000,2581469,367946,672130288.000000
2025-04-30,Nasdaq ISE (I),2888787,446310,1061069812.000000,25527,11991,199771316.000000,2914314,458301,1260841128.000000
2025-04-30,Nasdaq MRX (J),1456346,204547,375077419.000000,0,0,0.000000,1456346,204547,375077419.000000
2025-04-30,MIAX Options Exchange (M),3485044,526306,1058195080.000000,0,0,0.000000,3485044,526306,1058195080.000000
2025-04-30,NYSE Arca Options (N),5264594,667389,2020221262.000000,0,0,0.000000,5264594,667389,2020221262.000000
2025-04-30,MIAX Pearl (P),994083,132951,241221368.000000,0,0,0.000000,994083,132951,241221368.000000
2025-04-30,NASDAQ Options Market (Q),2129456,307014,708586858.000000,0,0,0.000000,2129456,307014,708586858.000000
2025-04-30,MIAX Sapphire (S),1512350,216521,433015087.000000,0,0,0.000000,1512350,216521,433015087.000000
2025-04-30,Nasdaq BX Options (T),745420,83608,149932767.000000,0,0,0.000000,745420,83608,149932767.000000
2025-04-30,Members Exchange (U),1617582,206580,393004969.000000,0,0,0.000000,1617582,206580,393004969.000000
2025-04-30,Cboe C2 Options Exchange (W),1497481,168697,359394787.000000,10004,2566,25564236.000000,1507485,171263,384959023.000000
2025-04-30,Nasdaq PHLX (X),4632066,382657,1746529684.000000,28569,14562,232732710.000000,4660635,397219,1979262394.000000
2025-04-30,Cboe BZX Options Exchange (Z),1706247,227171,542592652.000000,2296,494,12285246.000000,1708543,227665,554877898.000000
2025-04-29,NYSE American Options (A),1867451,205397,528875318.000000,0,0,0.000000,1867451,205397,528875318.000000
2025-04-29,BOX Options (B),2842599,358607,962844376.000000,0,0,0.000000,2842599,358607,962844376.000000
2025-04-29,Cboe Options Exchange (C),3730405,602745,1442606794.000000,4276783,965623,12542476948.000000,8007188,1568368,13985083742.000000
2025-04-29,MIAX Emerald (D),1594001,262733,495804198.000000,0,0,0.000000,1594001,262733,495804198.000000
2025-04-29,Cboe EDGX Options Exchange (E),2753308,499134,656013810.000000,0,0,0.000000,2753308,499134,656013810.000000
2025-04-29,Nasdaq GEMX (H),2257316,302962,517520658.000000,235,128,12628250.000000,2257551,303090,530148908.000000
2025-04-29,Nasdaq ISE (I),2527573,389331,955763944.500000,22201,10988,234704349.000000,2549774,400319,1190468293.500000
2025-04-29,Nasdaq MRX (J),1333936,183796,335239908.000000,0,0,0.000000,1333936,183796,335239908.000000
2025-04-29,MIAX Options Exchange (M),3066575,467888,887431272.000000,0,0,0.000000,3066575,467888,887431272.000000
2025-04-29,NYSE Arca Options (N),4533290,590983,1886919372.000000,0,0,0.000000,4533290,590983,1886919372.000000
2025-04-29,MIAX Pearl (P),921751,118916,205226859.000000,0,0,0.000000,921751,118916,205226859.000000
2025-04-29,NASDAQ Options Market (Q),1758670,257411,572766767.000000,0,0,0.000000,1758670,257411,572766767.000000
2025-04-29,MIAX Sapphire (S),1338839,197327,338800713.000000,0,0,0.000000,1338839,197327,338800713.000000
2025-04-29,Nasdaq BX Options (T),687420,76923,116287351.000000,0,0,0.000000,687420,76923,116287351.000000
2025-04-29,Members Exchange (U),1403838,179205,333023279.000000,0,0,0.000000,1403838,179205,333023279.000000
2025-04-29,Cboe C2 Options Exchange (W),1187316,150554,303672873.000000,8247,2693,19441497.000000,1195563,153247,323114370.000000
2025-04-29,Nasdaq PHLX (X),3709641,343791,1201384978.000000,26242,13983,255331392.000000,3735883,357774,1456716370.000000
2025-04-29,Cboe BZX Options Exchange (Z),1500576,196925,470214670.000000,1529,406,8518203.000000,1502105,197331,478732873.000000
2025-04-28,NYSE American Options (A),2684639,227465,1280888690.000000,0,0,0.000000,2684639,227465,1280888690.000000
2025-04-28,BOX Options (B),3039845,401127,811625606.000000,0,0,0.000000,3039845,401127,811625606.000000
2025-04-28,Cboe Options Exchange (C),3715617,657174,1397828131.000000,3792095,967353,9914792628.000000,7507712,1624527,11312620759.000000
2025-04-28,MIAX Emerald (D),1598489,265207,522313750.000000,0,0,0.000000,1598489,265207,522313750.000000
2025-04-28,Cboe EDGX Options Exchange (E),2840024,514395,684636394.000000,0,0,0.000000,2840024,514395,684636394.000000
2025-04-28,Nasdaq GEMX (H),2387072,331566,569907623.000000,356,180,17683610.000000,2387428,331746,587591233.000000
2025-04-28,Nasdaq ISE (I),2757500,442040,1146113745.000000,30185,11261,134330803.000000,2787685,453301,1280444548.000000
2025-04-28,Nasdaq MRX (J),1505245,208917,391994735.000000,0,0,0.000000,1505245,208917,391994735.000000
2025-04-28,MIAX Options Exchange (M),3151791,514200,914485357.000000,0,0,0.000000,3151791,514200,914485357.000000
2025-04-28,NYSE Arca Options (N),4545275,665496,1908434474.000000,0,0,0.000000,4545275,665496,1908434474.000000
2025-04-28,MIAX Pearl (P),1116219,160724,287056343.000000,0,0,0.000000,1116219,160724,287056343.000000
2025-04-28,NASDAQ Options Market (Q),1942206,287889,648482123.000000,0,0,0.000000,1942206,287889,648482123.000000
