Day,Market Participant,Equity Option Contracts,Equity Option Trade Count,Equity Option Notional,Index/Other Option Contracts,Index/Other Option Trade Count,Index/Other Option Notional,Total Option Contracts,Total Trade Count,Total Option Notional
2025-06-02,Nasdaq ISE (I),2591432,395964,911689427.500000,27772,11291,106739680.000000,2619204,407255,1018429107.500000
2025-06-02,Nasdaq MRX (J),1353581,196607,350977087.000000,0,0,0.000000,1353581,196607,350977087.000000
2025-06-02,MIAX Options Exchange (M),2836319,511357,808438193.000000,0,0,0.000000,2836319,511357,808438193.000000
2025-06-02,NYSE Arca Options (N),4584208,639352,1803090431.000000,0,0,0.000000,4584208,639352,1803090431.000000
2025-06-02,MIAX Pearl (P),572853,73336,126594047.000000,0,0,0.000000,572853,73336,126594047.000000
2025-06-02,NASDAQ Options Market (Q),1330324,186987,415812939.000000,0,0,0.000000,1330324,186987,415812939.000000
2025-06-02,MIAX Sapphire (S),1392960,228724,354906285.000000,0,0,0.000000,1392960,228724,354906285.000000
2025-06-02,Nasdaq BX Options (T),732314,82431,138335741.000000,0,0,0.000000,732314,82431,138335741.000000
2025-06-02,Members Exchange (U),1498994,225806,385784023.000000,0,0,0.000000,1498994,225806,385784023.000000
2025-06-02,Cboe C2 Options Exchange (W),1335705,157096,291834887.000000,10151,2839,23652454.000000,1345856,159935,315487341.000000
2025-06-02,Nasdaq PHLX (X),4005603,413519,2317511227.000000,30319,14406,196390320.000000,4035922,427925,2513901547.000000
2025-06-02,Cboe BZX Options Exchange (Z),1566073,235499,481508053.000000,1065,302,2990634.000000,1567138,235801,484498687.000000
2025-05-30,NYSE American Options (A),2927150,309582,875673310.000000,0,0,0.000000,2927150,309582,875673310.000000
2025-05-30,BOX Options (B),4202892,398669,2098882271.000000,0,0,0.000000,4202892,398669,2098882271.000000
2025-05-30,Cboe Options Exchange (C),6096688,955036,1631808526.000000,4312786,1079667,9745452998.000000,10409474,2034703,11377261524.000000
2025-05-30,MIAX Emerald (D),1687557,312355,446026092.000000,0,0,0.000000,1687557,312355,446026092.000000
2025-05-30,Cboe EDGX Options Exchange (E),3726207,484800,724670599.000000,0,0,0.000000,3726207,484800,724670599.000000
2025-05-30,Nasdaq GEMX (H),1990308,250314,443889548.000000,374,106,5383545.000000,1990682,250420,449273093.000000
2025-05-30,Nasdaq ISE (I),3625851,516978,1089023555.000000,31591,13281,162687971.000000,3657442,530259,1251711526.000000
2025-05-30,Nasdaq MRX (J),1635071,236057,439443772.000000,0,0,0.000000,1635071,236057,439443772.000000
2025-05-30,MIAX Options Exchange (M),5076769,804800,1243955998.000000,0,0,0.000000,5076769,804800,1243955998.000000
2025-05-30,NYSE Arca Options (N),6210056,767824,2084511702.000000,0,0,0.000000,6210056,767824,2084511702.000000
2025-05-30,MIAX Pearl (P),1315939,175902,294590672.000000,0,0,0.000000,1315939,175902,294590672.000000
2025-05-30,NASDAQ Options Market (Q),2392954,357623,655005242.000000,0,0,0.000000,2392954,357623,655005242.000000
2025-05-30,MIAX Sapphire (S),1762591,264692,383049732.000000,0,0,0.000000,1762591,264692,383049732.000000
2025-05-30,Nasdaq BX Options (T),964506,104183,169045967.000000,0,0,0.000000,964506,104183,169045967.000000
2025-05-30,Members Exchange (U),2051241,283163,439594115.000000,0,0,0.000000,2051241,283163,439594115.000000
2025-05-30,Cboe C2 Options Exchange (W),1658297,212465,317149658.000000,14332,3144,28692983.000000,1672629,215609,345842641.000000
2025-05-30,Nasdaq PHLX (X),5593926,444277,2863454105.000000,42066,17298,326615855.000000,5635992,461575,3190069960.000000
2025-05-30,Cboe BZX Options Exchange (Z),2217007,301802,591362316.000000,853,334,2446738.000000,2217860,302136,593809054.000000
2025-05-29,NYSE American Options (A),2508416,274450,879546824.000000,0,0,0.000000,2508416,274450,879546824.000000
2025-05-29,BOX Options (B),4111846,346837,5260797100.500000,0,0,0.000000,4111846,346837,5260797100.500000
2025-05-29,Cboe Options Exchange (C),5049471,834266,1511628894.000000,3764238,985458,7660775740.000000,8813709,1819724,9172404634.000000
2025-05-29,MIAX Emerald (D),1123291,217004,323253200.000000,0,0,0.000000,1123291,217004,323253200.000000
2025-05-29,Cboe EDGX Options Exchange (E),2922499,443223,683427792.800000,0,0,0.000000,2922499,443223,683427792.800000
2025-05-29,Nasdaq GEMX (H),1840557,225329,426733726.000000,167,83,3939880.000000,1840724,225412,430673606.000000
2025-05-29,Nasdaq ISE (I),3018249,435983,1145589340.700000,28588,12351,118928835.000000,3046837,448334,1264518175.700000
2025-05-29,Nasdaq MRX (J),1454588,210214,421823764.000000,0,0,0.000000,1454588,210214,421823764.000000
2025-05-29,MIAX Options Exchange (M),4160397,660650,1084763221.000000,0,0,0.000000,4160397,660650,1084763221.000000
2025-05-29,NYSE Arca Options (N),5174461,653354,1833397099.000000,0,0,0.000000,5174461,653354,1833397099.000000
2025-05-29,MIAX Pearl (P),1391374,200192,352045689.000000,0,0,0.000000,1391374,200192,352045689.000000
2025-05-29,NASDAQ Options Market (Q),1930966,283202,565621298.000000,0,0,0.000000,1930966,283202,565621298.000000
2025-05-29,MIAX Sapphire (S),1571617,239235,412184255.000000,0,0,0.000000,1571617,239235,412184255.000000
2025-05-29,Nasdaq BX Options (T),792293,90241,137365459.000000,0,0,0.000000,792293,90241,137365459.000000
2025-05-29,Members Exchange (U),1672316,240091,418846120.000000,0,0,0.000000,1672316,240091,418846120.000000
2025-05-29,Cboe C2 Options Exchange (W),1367232,166655,284825425.000000,8540,2525,18980998.000000,1375772,169180,303806423.000000
2025-05-29,Nasdaq PHLX (X),5272064,423128,5244363386.000000,37931,16425,181944389.000000,5309995,439553,5426307775.000000
2025-05-29,Cboe BZX Options Exchange (Z),1808438,253748,552828350.000000,1052,505,4235423.000000,1809490,254253,557063773.000000
2025-05-28,NYSE American Options (A),2086569,262660,697855672.000000,0,0,0.000000,2086569,262660,697855672.000000
2025-05-28,BOX Options (B),2738993,312476,1145421530.000000,0,0,0.000000,2738993,312476,1145421530.000000
2025-05-28,Cboe Options Exchange (C),4907573,825118,2081204896.000000,3602341,914127,6576656739.000000,8509914,1739245,8657861635.000000
2025-05-28,MIAX Emerald (D),1005487,191662,304057003.000000,0,0,0.000000,1005487,191662,304057003.000000
2025-05-28,Cboe EDGX Options Exchange (E),2357517,390055,757612661.000000,0,0,0.000000,2357517,390055,757612661.000000
2025-05-28,Nasdaq GEMX (H),1477026,186420,376853380.000000,375,242,12401570.000000,1477401,186662,389254950.000000
2025-05-28,Nasdaq ISE (I),2630357,399972,1062706892.500000,29101,10858,278154788.000000,2659458,410830,1340861680.500000
2025-05-28,Nasdaq MRX (J),1237312,180621,389318332.000000,0,0,0.000000,1237312,180621,389318332.000000
2025-05-28,MIAX Options Exchange (M),3359221,575952,993443142.000000,0,0,0.000000,3359221,575952,993443142.000000
2025-05-28,NYSE Arca Options (N),4256221,573852,1691930719.000000,0,0,0.000000,4256221,573852,1691930719.000000
2025-05-28,MIAX Pearl (P),1206044,183716,328630963.000000,0,0,0.000000,1206044,183716,328630963.000000
2025-05-28,NASDAQ Options Market (Q),1799790,240529,611706480.000000,0,0,0.000000,1799790,240529,611706480.000000
2025-05-28,MIAX Sapphire (S),1324165,209304,409555954.000000,0,0,0.000000,1324165,209304,409555954.000000
2025-05-28,Nasdaq BX Options (T),677981,77373,154908059.000000,0,0,0.000000,677981,77373,154908059.000000
2025-05-28,Members Exchange (U),1472146,209107,399975355.000000,0,0,0.000000,1472146,209107,399975355.000000
2025-05-28,Cboe C2 Options Exchange (W),1371614,153712,280693527.000000,9910,2353,14813680.000000,1381524,156065,295507207.000000
2025-05-28,Nasdaq PHLX (X),3702385,349358,1783231114.000000,31730,13699,176874633.000000,3734115,363057,1960105747.000000
